windfarm,lat,lon,wind_farm,V0,b,cut_in_speed,cut_out_speed,rated_power,derate,SWIS,start_year,hub_height,region,roughness,full_name,rated_speed,elev,dist_coast,state
ARWF1,-37.2619608,142.9642324,ARWF1,7.719,0.825,3.0,25.0,240.0,0.82,False,2017.0,85.0,R,0.1,Ararat,13.0,402.0,137.0,VIC
BALDHWF1,-38.7508361,145.9784877,BALDHWF1,8.212,0.71,3.5,22.0,106.6,0.96,False,2015.0,85.0,R,0.1,Bald_Hills,13.0,72.0,5.0,VIC
BLUFF1,-33.3598324,138.8214465,BLUFF1,8.965,0.934,3.5,25.0,52.5,0.99,False,2012.0,80.0,R,0.1,Hallett_5_The_Bluff,14.0,730.0,69.0,SA
BOCORWF1,-36.5760409,149.0869087,BOCORWF1,8.41,0.819,3.5,23.0,113.0,0.97,False,2015.0,80.0,R,0.1,Boco_Rock,11.0,988.0,80.0,NSW
BODWF1,-32.4071283,149.04133,BODWF1,7.83,0.77,3.0,25.0,113.2,0.98,False,2019.0,85.0,R,0.1,Bodangora,12.0,484.0,217.0,NSW
CAPTL_WF,-35.212282,149.4873431,CAPTL_WF,8.965,0.934,3.5,25.0,140.0,0.94,False,2010.0,80.0,R,0.1,Capital,14.0,877.0,84.0,NSW
CATHROCK,-34.8589659,135.6703574,CATHROCK,8.98,0.62,3.5,25.0,66.0,0.91,False,2007.0,60.0,R,0.1,Cathedral_Rocks,14.5,124.0,0.0,SA
CHALLHWF,-37.3440256,143.1263006,CHALLHWF,9.023,0.817,5.0,25.0,52.0,0.92,False,2003.0,68.0,R,0.1,Challicum_Hills,15.0,264.0,101.0,VIC
CHYTWF1,-37.1032617,145.2705628,CHYTWF1,8.25,0.914,2.5,22.0,57.6,0.98,False,2020.0,91.0,R,0.1,Cherry_Tree,11.0,510.0,87.0,VIC
CNUNDAWF,-37.7478242,140.4090922,CNUNDAWF,8.98,0.62,3.5,25.0,46.0,0.93,False,2005.0,67.0,R,0.1,Canunda,14.5,46.0,9.0,SA
COOPGWF1,-26.7191607,151.4509345,COOPGWF1,7.83,0.77,3.0,25.0,452.9,0.94,False,2020.0,110.0,R,0.1,Coopers_Gap,12.0,667.0,160.0,QLD
CROOKWF2,-34.5539405,149.6234104,CROOKWF2,7.83,0.77,3.0,25.0,96.0,0.96,False,2018.0,95.0,R,0.1,Crookwell_2,12.0,926.0,125.0,NSW
CROWLWF1,-37.1448099,143.1317267,CROWLWF1,8.212,0.71,3.5,22.0,80.0,0.95,False,2019.0,100.0,R,0.1,Crowlands,13.0,336.0,151.0,VIC
CTHLWF1,-42.1581716,146.7007092,CTHLWF1,9.1,0.713,3.5,25.0,154.0,0.9,False,2020.0,110.0,R,0.1,Cattle Hill,10.5,878.0,90.0,TAS
DUNDWF1,-37.8395965,142.8770238,DUNDWF1,7.33,0.823,3.0,22.5,168.0,0.97,False,2020.0,114.0,R,0.1,Dundonnell,9.9,215.0,71.0,VIC
DUNDWF2,-37.8395965,142.8770238,DUNDWF2,7.33,0.823,3.0,22.5,46.2,0.97,False,2020.0,114.0,R,0.1,Dundonnell,9.9,215.0,71.0,VIC
DUNDWF3,-37.8395965,142.8770238,DUNDWF3,7.33,0.823,3.0,22.5,121.8,0.98,False,2020.0,114.0,R,0.1,Dundonnell,9.9,215.0,71.0,VIC
GRANWF1,-41.7992038,145.0987179,GRANWF1,9.1,0.713,3.5,25.0,112.0,0.9,False,2020.0,137.0,R,0.1,Granville_Harbour,11.5,111.0,2.0,TAS
